1,Daniel,McBride,asad@northeastern.edu, password,27
2,Leighton,Kramer,asad@northeastern.edu, password,24
3,Kylan,Gentry,asad@northeastern.edu, password,24
4,Franklin,Sierra,asad@northeastern.edu, password,25
5,Marceline,Avila,asad@northeastern.edu, password,22
6,Jaylen,Blackwell,asad@northeastern.edu, password,26
7,Rosie,Frank,asad@northeastern.edu, password,21
8,Willow,Rush,asad@northeastern.edu, password,26
9,Halle,Espinosa,asad@northeastern.edu, password,25
10,Luciano,Frederick,asad@northeastern.edu, password,25
11,Jayden,Cordova,asad@northeastern.edu, password,23
12,Aiden,Booker,asad@northeastern.edu, password,28
13,Anahi,Branch,asad@northeastern.edu, password,26
